	ID	IDC	MT_TOT	PMG	RECENCE
708	708	1930	2168.0	3. M	0
709	709	1931	107.0	4. P	3
710	710	1933	26322.0	2. G	5
711	711	1934	41.0	4. P	10
712	712	1936	472.5	4. P	0
713	713	1937	10.0	4. P	10
714	714	1938	38.0	4. P	10
715	715	1939	9.0	4. P	10
716	716	1940	71.0	4. P	10
717	717	1941	10.0	4. P	10
718	718	1942	19.0	4. P	10
719	719	1943	10.0	4. P	10
720	720	1944	446.5	4. P	5
721	721	1945	30.0	4. P	9
722	722	1947	148.5	4. P	3
723	723	1948	383.5	4. P	9
724	724	1949	1779.5	3. M	0
725	725	1950	505.5	4. P	0
726	726	1951	2359.0	3. M	0
727	727	1952	10.5	4. P	10
728	728	1953	21.0	4. P	10
729	729	1954	1202.5	4. P	8
730	730	1955	265.5	4. P	9
731	731	1956	473.0	4. P	1
732	732	1957	15.5	4. P	10
733	733	1958	16682.5	2. G	3
734	734	1959	3584.5	3. M	0
735	735	1960	221.0	4. P	8
736	736	1961	10075.0	3. M	3
737	737	1962	432.5	4. P	1
738	738	1963	10.0	4. P	10
739	739	1964	37.5	4. P	10
740	740	1965	10.0	4. P	9
741	741	1966	495.35	4. P	0
742	742	1967	29.0	4. P	9
743	743	1968	150.0	4. P	9
744	744	1971	33.5	4. P	9
745	745	1972	451.0	4. P	4
746	746	1973	22.5	4. P	10
747	747	1974	98.5	4. P	9
748	748	1975	535.2	4. P	8
749	749	1978	1235.0	4. P	2
750	750	1979	326.5	4. P	9
751	751	1981	3215.0	3. M	1
752	752	1982	898.5	4. P	0
753	753	1983	1979.0	3. M	0
754	754	1984	121.0	4. P	2
755	755	1985	92.0	4. P	8
756	756	1986	297.5	4. P	8
757	757	1987	23.0	4. P	9
758	758	1988	51.0	4. P	9
759	759	1989	57.0	4. P	1
760	760	1990	138.5	4. P	6
761	761	1991	1567.0	4. P	0
762	762	1992	189.5	4. P	9
763	763	1993	28.0	4. P	9
764	764	1994	1295.0	4. P	0
765	765	1996	346.0	4. P	8
766	766	1998	10.0	4. P	9
767	767	1999	22.5	4. P	9
768	768	2000	16.0	4. P	9
