ID,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,"('KEY2', 'KEY2MAX')","('KEY2', 'KEY2MIN')",2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PMG,PMG2,REC,RECENCE
509,509,1689,141.0,41,2014-11-01,2014-02-01,24179,24170,,,,,,,,,,,,,24.5,,,,,,,,,116.5,32.0,104.5,,,,4.5,,,,,,,,,,4. P,4,4,0
510,510,1690,742.0,761,2014-04-01,2013-12-01,24172,24168,,,,,,,,,,,152.0,47.0,,,543.0,,,,,,,,235.5,168.0,206.5,69.0,19.5,,,6.5,29.0,5.5,,2.5,,,,4. P,4,2,7
511,511,1692,825.5,263,2014-07-01,2013-12-01,24175,24168,,,,,,,,,,,85.0,41.5,406.0,185.0,,29.5,48.5,30.0,,,,,29.0,100.0,,35.0,,,,,309.0,2.0,0.5,130.5,219.5,,,4. P,4,3,4
512,512,1694,2223.5,2201,2014-05-01,2013-12-01,24173,24168,,,,,,,,,,,677.0,1475.5,,,,71.0,,,,,,,1110.5,1113.0,,,,,,,,,,,,,,3. M,3,2,6
513,513,1695,1789.0,611,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,103.0,301.5,286.5,174.5,64.5,45.0,,133.5,428.5,143.5,84.0,24.5,1012.5,8.0,1.5,,,,,9.0,33.0,,,725.0,,,,3. M,3,4,0
514,514,1696,259.0,23,2014-08-01,2013-12-01,24176,24168,,,,,,,,,,,213.0,35.0,,,,,,,11.0,,,,94.0,165.0,,,,,,,,,,,,,,4. P,4,3,3
515,515,1697,51.0,28,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,51.0,,,,,,,,,,,,,,,0.5,,6.0,6.0,,,,,38.5,,,,4. P,4,2,11
516,516,1698,617.0,738,2014-10-01,2013-12-01,24178,24168,,,,,,,,,,,10.0,38.5,,,,,,163.0,368.5,,37.0,,18.0,,,,4.0,,1.5,48.0,10.0,26.0,104.0,292.5,3.0,1.0,109.0,4. P,4,4,1
517,517,1700,25.0,50,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,25.0,,,,,,,,,,,,3.0,4.0,1.5,0.5,1.0,2.0,,0.5,0.5,,5.0,3.0,0.5,,3.5,4. P,4,2,11
518,518,1701,113.0,216,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,113.0,,,,,,,,,,,,11.0,,,,,,0.5,2.0,40.5,,17.5,2.5,7.5,,31.5,4. P,4,2,11
519,519,1702,12284.5,559,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,1165.5,3133.0,1745.0,1765.0,883.5,281.0,347.0,706.0,553.5,124.0,1034.5,546.5,2524.0,2010.0,,447.5,80.0,,,146.0,7.5,20.0,4561.0,25.0,,,2463.5,2. G,2,4,0
520,520,1703,10.0,2,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,10.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,4. P,4,2,11
521,521,1705,10.0,4,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,4. P,4,2,11
522,522,1706,2080.5,1051,2014-06-01,2013-12-01,24174,24168,,,,,,,,,,,1105.5,35.5,,,92.5,579.0,268.0,,,,,,768.5,521.5,19.0,20.0,6.0,28.0,32.0,54.5,,,73.0,468.0,,8.0,82.0,3. M,3,3,5
523,523,1707,315.0,179,2014-06-01,2013-12-01,24174,24168,,,,,,,,,,,139.0,145.0,16.5,4.0,2.0,,8.5,,,,,,102.0,94.0,8.5,109.5,,,,0.5,,,,0.5,,,,4. P,4,3,5
524,524,1708,360.0,82,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,266.0,,,,,,,,,,,94.0,291.5,40.5,16.0,3.0,9.0,,,,,,,,,,,4. P,4,4,0
525,525,1709,732.0,487,2014-05-01,2013-12-01,24173,24168,,,,,,,,,,,163.5,244.0,,94.5,81.0,149.0,,,,,,,214.0,52.0,6.0,127.5,,121.5,,,,,56.0,155.0,,,,4. P,4,2,6
526,526,1710,758.5,101,2014-08-01,2013-12-01,24176,24168,,,,,,,,,,,375.5,288.0,,,25.0,,59.0,5.0,6.0,,,,5.5,657.5,,,,84.5,,,,,1.0,,,,10.0,4. P,4,3,3
527,527,1711,55.0,3,2014-04-01,2013-12-01,24172,24168,,,,,,,,,,,10.0,,30.0,,15.0,,,,,,,,55.0,,,,,,,,,,,,,,,4. P,4,2,7
528,528,1712,268.5,405,2014-10-01,2013-12-01,24178,24168,,,,,,,,,,,55.0,101.5,29.5,16.5,24.5,13.5,8.0,2.0,0.5,11.0,6.5,,2.0,215.0,,2.5,,3.0,2.5,1.0,0.5,23.0,5.0,11.0,0.5,,2.5,4. P,4,4,1
529,529,1713,10.0,1,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,4. P,4,2,10
530,530,1715,339.0,306,2014-02-01,2013-12-01,24170,24168,,,,,,,,,,,69.5,239.5,30.0,,,,,,,,,,3.0,10.0,,,,0.5,,,4.5,57.0,,42.5,221.5,,,4. P,4,2,9
531,531,1717,29.5,4,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,29.5,,,,,,,,,,,,,28.0,,,,1.5,,,,,,,,,,4. P,4,2,11
532,532,1719,736.0,1437,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,49.0,146.5,43.5,121.0,80.0,19.5,19.0,43.5,57.0,48.5,41.5,67.0,436.5,196.0,4.5,5.0,0.5,,,,,,,20.5,73.0,,,4. P,4,4,0
533,533,1720,3239.0,1412,2014-02-01,2013-12-01,24170,24168,,,,,,,,,,,156.0,2149.5,933.5,,,,,,,,,,448.5,398.0,32.0,95.5,1259.5,,,250.0,212.5,26.0,,345.0,172.0,,,3. M,3,2,9
534,534,1722,417.0,171,2014-04-01,2014-01-01,24172,24169,,,,,,,,,,,,97.0,184.0,129.0,7.0,,,,,,,,182.5,190.5,1.0,,1.0,,,,5.0,16.0,,17.0,4.0,,,4. P,4,2,7
535,535,1723,657.0,437,2014-08-01,2013-12-01,24176,24168,,,,,,,,,,,87.5,141.5,287.0,124.0,9.0,,,,8.0,,,,121.0,33.0,91.5,64.0,41.5,,,15.0,116.0,43.5,25.5,58.0,20.5,8.0,19.5,4. P,4,3,3
536,536,1724,10.0,2,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,4. P,4,2,11
537,537,1725,29.0,6,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,29.0,,,,,,,,,,,,24.0,5.0,,,,,,,,,,,,,,4. P,4,2,11
538,538,1726,149.5,58,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,81.0,68.5,,,,,,,,,,,135.0,12.0,0.5,1.0,1.0,,,,,,,,,,,4. P,4,2,10
539,539,1727,122.0,29,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,70.0,52.0,,,,,,,,,,,3.0,,,,,,,,,,17.0,102.0,,,,4. P,4,2,10
540,540,1728,45.5,11,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,45.5,,,,,,,,,,,,5.5,40.0,,,,,,,,,,,,,,4. P,4,2,11
541,541,1729,1804.6,1040,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,184.0,1259.1,210.0,151.5,,,,,,,,,543.0,346.5,22.0,396.5,19.5,62.5,,45.0,5.0,8.0,212.0,48.5,,19.1,77.0,3. M,3,2,8
542,542,1730,2363.0,69,2014-05-01,2014-01-01,24173,24169,,,,,,,,,,,,929.5,1010.5,,31.0,392.0,,,,,,,,,,,,2363.0,,,,,,,,,,3. M,3,2,6
543,543,1732,8107.6,3136,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,478.0,649.0,303.5,934.0,1085.5,535.6,1551.0,483.0,520.0,1426.5,88.5,53.0,4280.0,2131.0,123.5,123.0,1110.0,,,178.5,10.0,21.0,0.5,93.5,34.0,2.1,0.5,3. M,3,4,0
544,544,1733,7.5,3,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,7.5,,,,4. P,4,2,9
545,545,1734,10.0,2,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,10.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,4. P,4,2,11
546,546,1735,7480.05,3362,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,145.35,1391.5,520.5,1022.35,622.0,345.45,140.8,279.5,944.0,903.0,933.85,231.75,1753.5,170.0,31.0,42.5,37.0,33.5,26.0,71.5,42.5,1187.5,1483.0,193.5,107.0,1752.05,549.5,3. M,3,4,0
547,547,1736,225.5,122,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,17.0,208.5,,,,,,,,,,,1.0,1.0,0.5,,,0.5,1.0,0.5,,17.0,134.5,2.0,,32.0,35.5,4. P,4,2,10
548,548,1737,18.0,14,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,18.0,,,,,,,,,,,,3.0,5.0,1.0,,,5.0,,1.0,,2.0,,1.0,,,,4. P,4,2,11
549,549,1738,34631.0,987,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,2113.0,2027.0,2408.0,3589.0,2495.0,4827.0,4790.0,3625.0,1435.0,5002.0,2320.0,33140.0,1451.0,,40.0,,,,,,,,,,,,2. G,2,4,0
