,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1254,1254,2565,15.5,12,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,7.5,,6.0,2.0,4. P,4,2,7,15.5,15.5
1255,1255,2566,9.6,3,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,0.5,,9.1,4. P,4,2,7,9.6,9.6
1256,1256,2567,20.0,16,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,7.5,10.5,2.0,4. P,4,2,7,20.0,20.0
1257,1257,2569,20.5,15,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,5.5,15.0,,,4. P,4,2,7,20.5,20.5
1258,1258,2570,10.0,15,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,10.0,,4. P,4,2,7,10.0,10.0
1259,1259,2571,776.5,107,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,776.5,,,,,,,,,,,87.0,607.5,81.5,0.5,4. P,4,2,7,776.5,776.5
1260,1260,2573,194.0,42,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,127.0,,30.5,,,,,36.5,,,,194.0,,,,4. P,4,4,0,157.5,127.0
1261,1261,2574,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,7.0,3.0,,4. P,4,2,7,10.0,10.0
1262,1262,2575,18.5,16,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,8.5,7.5,2.5,4. P,4,2,7,18.5,18.5
1263,1263,2579,2113.0,2576,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,114.5,366.5,174.0,225.5,239.0,313.5,330.5,349.5,,,,,,2109.0,4.0,3. M,3,4,0,820.0,365.5
1264,1264,2582,10.0,10,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,0.5,6.0,3.5,4. P,4,2,7,10.0,10.0
1265,1265,2584,1511.5,2913,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,10.0,,,,,438.5,1030.5,32.5,,,,,7.5,803.0,701.0,4. P,4,4,0,10.0,10.0
1266,1266,2585,3679.5,183,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,813.0,650.0,8.5,1307.0,100.0,,551.0,250.0,,,,1781.0,1517.0,381.5,,3. M,3,4,0,1511.5,1314.0
