,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
732,732,1963,10.0,8,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,,,,1.0,8.5,0.5,4. P,4,2,10,10.0,10.0
733,733,1964,37.5,48,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,37.5,,,,,,,,11.5,0.5,14.0,1.0,7.5,2.0,1.0,4. P,4,2,10,37.5,37.5
734,734,1966,33.0,30,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,26.0,7.0,,,,,,,,,,0.5,22.5,,10.0,4. P,4,2,9,33.0,33.0
735,735,1967,20.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,20.0,,,,,,,,20.0,,,,,,,4. P,4,2,10,20.0,20.0
736,736,1968,71.5,27,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,71.5,,,,,,,,4.0,3.5,50.0,0.5,8.5,5.0,,4. P,4,2,10,71.5,71.5
737,737,1971,27.5,23,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,27.5,,,,,,,,20.0,0.5,,,7.0,,,4. P,4,2,10,27.5,27.5
738,738,1973,22.5,17,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,22.5,,,,,,,,,3.5,1.0,1.0,1.0,11.0,5.0,4. P,4,2,10,22.5,22.5
739,739,1974,2.5,3,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,2.5,,,,,,,,2.0,,,0.5,,,,4. P,4,2,10,2.5,2.5
740,740,1975,54.5,10,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,54.5,,,,,,,,10.0,,15.0,8.0,20.5,1.0,,4. P,4,2,10,54.5,54.5
741,741,1978,56.0,56,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,42.0,14.0,,,,,,,28.0,,,,,28.0,,4. P,4,2,9,56.0,56.0
742,742,1979,31.0,6,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,31.0,,,,,,,,29.0,,,,,2.0,,4. P,4,2,10,31.0,31.0
743,743,1981,96.0,42,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,96.0,,,,,,,,8.0,9.0,12.0,24.0,,8.0,35.0,4. P,4,2,10,96.0,96.0
744,744,1982,76.0,42,2014-07-01,2014-01-01,24175,24169,,,,,,,,,,,,,54.0,,,,22.0,,,,6.0,1.0,5.0,1.0,41.5,21.5,,4. P,4,3,4,54.0,54.0
745,745,1983,28.0,17,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,19.0,9.0,,,,,,,17.0,,,,,11.0,,4. P,4,2,9,28.0,28.0
746,746,1984,13.0,8,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,13.0,,,,,,,1.0,,10.0,,1.0,1.0,,4. P,4,2,9,13.0,13.0
747,747,1985,6.0,5,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,3.0,3.0,,,,,,,,,6.0,,,,,4. P,4,2,9,6.0,6.0
748,748,1986,123.0,33,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,106.5,16.5,,,,,,,65.0,13.5,13.5,4.5,1.0,25.5,,4. P,4,2,9,123.0,123.0
749,749,1987,17.0,7,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,17.0,,,,,,,,2.0,,,,,15.0,,4. P,4,2,10,17.0,17.0
750,750,1988,3.5,7,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,1.5,2.0,,,,,,,2.0,,,,,1.5,,4. P,4,2,9,3.5,3.5
